Category,Category Type,Tenure Range,Percent Churn Yes,Percent Churn No
Streaming TV,No,0-12,53.51397121083827,46.48602878916173
Streaming TV,No,13-24,30.024813895781637,69.97518610421837
Streaming TV,No,25-36,22.71293375394322,77.28706624605678
Streaming TV,No,37-48,20.0836820083682,79.9163179916318
Streaming TV,No,49-60,9.051724137931034,90.94827586206897
Streaming TV,No,61+,4.666666666666667,95.33333333333334
Streaming TV,Yes,0-12,64.27104722792608,35.728952772073924
Streaming TV,Yes,13-24,42.567567567567565,57.432432432432435
Streaming TV,Yes,25-36,28.27586206896552,71.72413793103448
Streaming TV,Yes,37-48,26.557377049180324,73.44262295081967
Streaming TV,Yes,49-60,20.680628272251308,79.31937172774869
Streaming TV,Yes,61+,9.208819714656292,90.79118028534371
Streaming TV,No internet service,0-12,18.14595660749507,81.85404339250493
Streaming TV,No internet service,13-24,4.166666666666666,95.83333333333334
Streaming TV,No internet service,25-36,2.054794520547945,97.94520547945206
Streaming TV,No internet service,37-48,0.6535947712418301,99.34640522875817
Streaming TV,No internet service,49-60,3.289473684210526,96.71052631578947
Streaming TV,No internet service,61+,0.0,100.0
Streaming Movies,No,0-12,54.0885860306644,45.911413969335605
Streaming Movies,No,13-24,30.392156862745097,69.6078431372549
Streaming Movies,No,25-36,20.327868852459016,79.67213114754098
Streaming Movies,No,37-48,20.33195020746888,79.66804979253112
Streaming Movies,No,49-60,10.344827586206897,89.65517241379311
Streaming Movies,No,61+,4.181184668989547,95.81881533101046
Streaming Movies,Yes,0-12,62.75303643724697,37.24696356275304
Streaming Movies,Yes,13-24,42.2680412371134,57.73195876288659
Streaming Movies,Yes,25-36,30.4635761589404,69.5364238410596
Streaming Movies,Yes,37-48,26.4026402640264,73.5973597359736
Streaming Movies,Yes,49-60,19.895287958115183,80.10471204188482
Streaming Movies,Yes,61+,9.311224489795919,90.68877551020408
Streaming Movies,No internet service,0-12,18.14595660749507,81.85404339250493
Streaming Movies,No internet service,13-24,4.166666666666666,95.83333333333334
Streaming Movies,No internet service,25-36,2.054794520547945,97.94520547945206
Streaming Movies,No internet service,37-48,0.6535947712418301,99.34640522875817
Streaming Movies,No internet service,49-60,3.289473684210526,96.71052631578947
Streaming Movies,No internet service,61+,0.0,100.0
